culture_title,wikipedia_title,wikipedia_url,summary,commons_file,original_image_url,thumbnail_url,commons_url,author,license,license_url,usage_terms,image_description,image_status
Ajanta Caves,Ajanta Caves,https://en.wikipedia.org/wiki/Ajanta_Caves,"The Ajanta Caves are 30 rock-cut Buddhist cave monuments dating from the second century BCE to about 480 CE in Aurangabad district of Maharashtra state in India. Ajanta Caves are a  UNESCO World Heritage Site. Universally regarded as masterpieces of Buddhist religious art, the caves include paintings and rock-cut sculptures, described as among the finest surviving examples of ancient Indian art, particularly expressive paintings that present emotions through gesture, pose and form.
The caves were built in two phases, the first starting around the second century BCE and the second occurring from 400 to 650 CE, according to older accounts, or in a brief period of 460–480 CE according to later scholarship.
The Ajanta Caves constitute ancient monasteries (Viharas) and worship-halls (Chaityas) of different Buddhist traditions carved into a 75-metre (246 ft) wall of rock. The caves also present paintings depicting the past lives and rebirths of the Buddha, pictorial tales from Aryasura's Jatakamala, and rock-cut sculptures of Buddhist deities. Textual records suggest that these caves served as a monsoon retreat for monks, as well as a resting site for merchants and pilgrims in ancient India. While vivid colours and mural wall paintings were abundant in Indian history as evidenced by historical records, Caves 1, 2, 16 and 17 of Ajanta form the largest corpus of surviving ancient Indian wall-paintings.

The Ajanta Caves are mentioned in the memoirs of several medieval-era Chinese Buddhist travelers. They were covered by the jungle until accidentally ""discovered"" and brought to contemporary attention in 1819 by Colonel John Smith during a tiger-hunting expedition on a tiger-hunting party. The caves are located in the rocky northern wall of the U-shaped gorge of the River Waghur, in the Deccan Plateau. Within the gorge are a number of waterfalls, audible from outside the caves when the river is high.",File:Ajanta (63).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Ajanta_%2863%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/c/c3/Ajanta_%2863%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Ajanta_(63).jpg,No machine-readable author provided. Soman assumed (based on copyright claims).,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,Creative Commons Attribution 2.5,"Ajanta caves, Maharashtra",METADATA_FOUND
Ellora Caves,Ellora Caves,https://en.wikipedia.org/wiki/Ellora_Caves,"The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut  cave complexes in the world, with artwork dating from AD 600–1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture, and several are not strictly ""caves"" in that they have no roof.  Cave 16 features the largest single monolithic rock excavation in the world, the Kailash temple, a chariot-shaped monument dedicated to the god Shiva. The Kailash temple excavation also features sculptures depicting various Hindu deities as well as relief panels summarizing the two major Hindu epics.
There are over 100 caves at the site, all excavated from the basalt cliffs in the Charanandri Hills, 34 of which are open to the public. These consist of 17 Hindu (caves 13–29), 12 Buddhist (caves 1–12) and 5 Jain (caves 30–34) caves, each group representing deities and mythologies prevalent in the 1st millennium CE, as well as monasteries of each respective religion. They were built close to one another and illustrate the religious harmony that existed in ancient India. All of the Ellora monuments were built during the Rashtrakuta dynasty (r. 753-982 AD), which constructed part of the Hindu and Buddhist caves, and the Yadava dynasty (c. 1187–1317), which constructed a number of the Jain caves. Funding for the construction of the monuments was provided by royalty, traders, and wealthy people from the region.
Although the caves served as temples and a rest stop for pilgrims, the site's location on an ancient South Asian trade route also made it an important commercial centre in the Deccan region. It is 29 km (18 mi) northwest of Aurangabad and about 300 km (190 mi) east-northeast of Mumbai. Today, the Ellora Caves, along with the nearby Ajanta Caves, are a major tourist attraction in the Marathwada region of Maharashtra and a protected monument under the Archaeological Survey of India (ASI).",,,,,,,,,,IMAGE_SELECTION_REQUIRED
Elephanta Caves,Elephanta Caves,https://en.wikipedia.org/wiki/Elephanta_Caves,"The Elephanta Caves form a collection of cave temples predominantly dedicated to the Hindu god Shiva; UNESCO has designated them as a World Heritage Site. They are located on Elephanta Island, or Gharapuri (literally meaning ""the city of the caves""), in Mumbai Harbour, 10 kilometres (6.2 mi) east of Mumbai in the Indian state of Maharashtra. The island, about 2 kilometres (1.2 mi) west of the Jawaharlal Nehru Port, features five Hindu caves, a few Buddhist stupa mounds that date back to the 2nd century BCE, and two Buddhist caves with water tanks.
The Elephanta Caves contain rock-cut stone sculptures, mostly in high relief, that show a syncretism of Hindu—Buddhist ideas and iconography. The caves are hewn from solid basalt rock. Apart from a few exceptions, much of the artwork has been defaced and damaged. The main temple's orientation as well as the relative location of other temples form a mandala pattern. The carvings narrate Hindu legends, with the large monolithic 5.45 metres (17.9 ft) Trimurti  Sadashiva (three-faced Shiva), Nataraja (Lord of the dance) and  Yogishvara (Lord of Yogis) being the most celebrated.
These date to between the 5th and 9th centuries CE, and scholars attribute them to various Hindu dynasties. They are most commonly placed between the 5th and 7th centuries. Many scholars consider them to have been completed by about 550 CE.
They were named Elefante—which morphed to ""Elephanta""—by the colonial Portuguese who found elephant statues in the caves. The Portuguese established a base on the island. The main cave (Cave 1, or the Great Cave) was a Hindu place of worship until the Portuguese arrived, whereupon the island ceased to be an active place of worship. The earliest attempts to prevent further damage to the caves were started by  British India officials in 1909. The Indian government restored the  monuments in the 1970s. As of 2025, the site is maintained by the Archaeological Survey of India (ASI).",File:Elephanta Caves Trimurti.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Elephanta_Caves_Trimurti.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Elephanta_Caves_Trimurti.jpg/1280px-Elephanta_Caves_Trimurti.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Elephanta_Caves_Trimurti.jpg,Christian Haugen,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Creative Commons Attribution 2.0,"The sculptures here were created beginning in the late Gupta Empire, or some time after, and at later dates. Elephanta Island was designated a UNESCO World Heritage Site in 1987 to preserve the artwork.",METADATA_FOUND
Bathukamma,Bathukamma,https://en.wikipedia.org/wiki/Bathukamma,"Bathukamma is a flower-festival celebrated by Telugu Hindu women of Telangana and some parts of Andhra Pradesh. Every year this festival is celebrated as per the Sathavahana calendar for nine days starting on Pitru Amavasya, which usually coincides with the months September–October of the Gregorian calendar. Bathukamma is celebrated for nine days and corresponds to the festivals of Sharad Navratri and Durga Puja. It starts on the day of Mahalaya Amavasya and the 9-day festivities culminate on ""Saddula Bathukamma"" or ""Pedda Bathukamma."" Bathukamma is followed by Boddemma, which is a 7-day festival. The Boddemma festival that marks the ending of Varsha Ruthu whereas Bathukamma marks the beginning of Sarad or Sharath Ruthu
In Telugu, ‘Bathukamma' means ‘Mother Goddess come Alive’. 
Bathukamma is a beautiful flower stack, arranged with different unique seasonal flowers most of them with medicinal values, in seven concentric layers in the shape of a temple gopuram. It is usually brothers who bring flowers to their mother and sisters to arrange bathukamma.
Historically, Bathukamma meant ""the festival of life"". It also marks the celebration of femininity in the Deccan region, during which women of Telangana dress up in traditional saris, with jewels and other accessories. Teenage Girls wear Langa-Oni/Half-Sarees/Lehenga Choli with jewels in order to bring out the traditional grace of the attire.
9 Nights of Bathukamma

Day 1: Engili pula Bathukamma
Day 2: Atukula Bathukamma
Day 3: Muddapappu Bathukamma
Day 4: Nanabiyyam Bathukamma
Day 5: Atla Bathukamma
Day 6: Aligina Bathukamma
Day 7: Vepakayala Bathukamma
Day 8: Vennela muddala Bathukamma
Day 9: Saddhula Bathukamma
Bathukamma represents cultural spirit of Telangana. It, along with the festivals of Bonalu, Sammakka Saralamma Jatara gained increased significance during the Telangana movement as a marker of the region's separate cultural identity from Andhra Pradesh, and its celebration has become much more prominent with the secession of Telangana from Andhra Pradesh in 2014.",File:బతుకమ్మ.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/%E0%B0%AC%E0%B0%A4%E0%B1%81%E0%B0%95%E0%B0%AE%E0%B1%8D%E0%B0%AE.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/f/fb/%E0%B0%AC%E0%B0%A4%E0%B1%81%E0%B0%95%E0%B0%AE%E0%B1%8D%E0%B0%AE.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:బతుకమ్మ.jpg,VishwakEIMP,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Creative Commons Attribution 4.0,బతుకమ్మ,METADATA_FOUND
Warli Painting,Warli painting,https://en.wikipedia.org/wiki/Warli_painting,"Warli painting is tribal art mostly created by the Warli people from the North Sahyadri Range in Maharashtra, India. Warli paintings exist in cities such as Dahanu, Talasari, Jawhar, Palghar and Mokhada and originated in Maharashtra, where it is still practiced today. The paintings are usually done on mud walls, using a white pigment made from rice paste and water. They depict daily life, farming activities, animals, and natural elements in simple geometric shapes. Traditionally, Warli art is created by women and is often linked with rituals and celebrations.

","File:Painted prayers, Warli paintings, at Sanskriti Kendra, Anandagram, New Delhi.jpg",https://upload.wikimedia.org/wikipedia/commons/9/94/Painted_prayers%2C_Warli_paintings%2C_at_Sanskriti_Kendra%2C_Anandagram%2C_New_Delhi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/Painted_prayers%2C_Warli_paintings%2C_at_Sanskriti_Kendra%2C_Anandagram%2C_New_Delhi.jpg/1280px-Painted_prayers%2C_Warli_paintings%2C_at_Sanskriti_Kendra%2C_Anandagram%2C_New_Delhi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Painted_prayers,_Warli_paintings,_at_Sanskriti_Kendra,_Anandagram,_New_Delhi.jpg",Abhishekjoshi,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,"Painted prayers, Warli Painting, at Sanskriti Kendra Museum, Anandagram, New Delhi.jpg",METADATA_FOUND
