culture_title,wikipedia_title,description,summary,wikipedia_url,image_url,image_width,image_height,status
Ajanta Caves,Ajanta Caves,"Buddhist cave monuments in Maharashtra, India","The Ajanta Caves are 30 rock-cut Buddhist cave monuments dating from the second century BCE to about 480 CE in Aurangabad district of Maharashtra state in India. Ajanta Caves are a UNESCO World Heritage Site. Universally regarded as masterpieces of Buddhist religious art, the caves include paintings and rock-cut sculptures, described as among the finest surviving examples of ancient Indian art, particularly expressive paintings that present emotions through gesture, pose and form.",https://en.wikipedia.org/wiki/Ajanta_Caves,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/330px-Ajanta_%2863%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,330,248,IMAGE_FOUND
Ellora Caves,Ellora Caves,"Ancient cave temples in Maharashtra, India","The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut cave complexes in the world, with artwork dating from AD 600–1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture, and several are not strictly ""caves"" in that they have no roof. Cave 16 features the largest single monolithic rock excavation in the world, the Kailash temple, a chariot-shaped monument dedicated to the god Shiva. The Kailash temple excavation also features sculptures depicting various Hindu deities as well as relief panels summarizing the two major Hindu epics.",https://en.wikipedia.org/wiki/Ellora_Caves,,,,NO_IMAGE
Elephanta Caves,Elephanta Caves,"Collection of cave temples in Maharashtra, India","The Elephanta Caves form a collection of cave temples predominantly dedicated to the Hindu god Shiva; UNESCO has designated them as a World Heritage Site. They are located on Elephanta Island, or Gharapuri, in Mumbai Harbour, 10 kilometres (6.2 mi) east of Mumbai in the Indian state of Maharashtra. The island, about 2 kilometres (1.2 mi) west of the Jawaharlal Nehru Port, features five Hindu caves, a few Buddhist stupa mounds that date back to the 2nd century BCE, and two Buddhist caves with water tanks.",https://en.wikipedia.org/wiki/Elephanta_Caves,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Elephanta_Caves_Trimurti.jpg/330px-Elephanta_Caves_Trimurti.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,330,376,IMAGE_FOUND
Bathukamma,Bathukamma,Flower festival in India,"Bathukamma is a flower-festival celebrated by Telugu Hindu women of Telangana and some parts of Andhra Pradesh. Every year this festival is celebrated as per the Sathavahana calendar for nine days starting on Pitru Amavasya, which usually coincides with the months September–October of the Gregorian calendar. Bathukamma is celebrated for nine days and corresponds to the festivals of Sharad Navratri and Durga Puja. It starts on the day of Mahalaya Amavasya and the 9-day festivities culminate on ""Saddula Bathukamma"" or ""Pedda Bathukamma."" Bathukamma is followed by Boddemma, which is a 7-day festival. The Boddemma festival that marks the ending of Varsha Ruthu whereas Bathukamma marks the beginning of Sarad or Sharath Ruthu",https://en.wikipedia.org/wiki/Bathukamma,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/%E0%B0%AC%E0%B0%A4%E0%B1%81%E0%B0%95%E0%B0%AE%E0%B1%8D%E0%B0%AE.jpg/330px-%E0%B0%AC%E0%B0%A4%E0%B1%81%E0%B0%95%E0%B0%AE%E0%B1%8D%E0%B0%AE.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,330,244,IMAGE_FOUND
Warli Painting,Warli painting,"Art created by tribal people from Maharashtra, India","Warli painting is tribal art mostly created by the Warli people from the North Sahyadri Range in Maharashtra, India. Warli paintings exist in cities such as Dahanu, Talasari, Jawhar, Palghar and Mokhada and originated in Maharashtra, where it is still practiced today. The paintings are usually done on mud walls, using a white pigment made from rice paste and water. They depict daily life, farming activities, animals, and natural elements in simple geometric shapes. Traditionally, Warli art is created by women and is often linked with rituals and celebrations.",https://en.wikipedia.org/wiki/Warli_painting,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/Painted_prayers%2C_Warli_paintings%2C_at_Sanskriti_Kendra%2C_Anandagram%2C_New_Delhi.jpg/330px-Painted_prayers%2C_Warli_paintings%2C_at_Sanskriti_Kendra%2C_Anandagram%2C_New_Delhi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,330,219,IMAGE_FOUND
